,name,value,lower_bound,upper_bound,bound_type,fixed
0,PTENphos,1.0,0.001,0.1,real,False
1,PTENdephos,1.0,0.001,0.1,real,False
2,PI3Kphos,1.0,0.001,0.1,real,False
3,PI3Kdephos,1.0,0.001,0.1,real,False
4,AKTphos,1.0,0.001,0.1,real,False
5,AKTdephos,1.0,0.001,0.1,real,False
6,GSK3Bphos,1.0,0.001,0.1,real,False
7,GSK3Bdephos,1.0,0.001,0.1,real,False
8,LPSstim,1.0,0.01,1.0,real,False
9,HDACIstim,1.0,0.01,1.0,real,False
10,LY294002stim,1.0,0.01,1.0,real,False
11,BPVstim,1.0,0.01,1.0,real,False
12,n1,1.0,1.0,10.0,int,True
13,n2,2.0,1.0,10.0,int,True
14,Knegativefeedback,1.0,0.01,1.0,real,False
15,Kpositivefeedback,1.0,0.01,1.0,real,False
16,ATPdephos,0.001,0.001,1.0,real,False
17,ADPDegradation,0.001,0.001,1.0,real,False
18,kGp,1.0,0.1,1.0,real,False
19,rGp,1.0,0.1,1.0,real,False
20,P2Y12stim,1.0,0.01,1.0,real,False
21,CAStim,1.0,0.01,10.0,real,False
22,Knegativefeedback2,1.0,0.01,1.0,real,False
23,Kpositivefeedback2,1.0,0.01,1.0,real,False
24,PIPactivation,1.0,0.001,0.1,real,False
25,PIPdeactivation,1.0,0.001,0.1,real,False
26,CAdephos,0.036875,0.001,1,real,False
27,CAHill,1.0,0.001,0.1,real,False
22,Ca_out,1,0.0001,0.1,real,False
23,k_in,1,0.0001,0.1,real,False
