,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca,PIP3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.05819818908754623,0.05793539358019235,7.164491006395544e-07,7.471231120167056e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.49928492628580035,1.0,0.02326921582122314
2.0,0.1141497217210739,0.11251427738164589,1.411366549709022e-05,3.113745978861736e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.7492844428906549,1.0,0.06991351988251678
3.0,0.16794132388362948,0.16393111206596864,7.020526841055639e-05,2.4278166903182037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.8744629638162208,1.0,0.12300285275053824
4.0,0.21965636144196524,0.21236909219345118,0.00020359511029299971,9.719395745920653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.937141729552924,1.0,0.17651104084639077
5.0,0.2693749516130572,0.2580007988754152,0.00044482990098539967,2.7291077095372536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9685259134040962,1.0,0.228296941920072
6.0,0.31717406392195363,0.3009888146685705,0.0008182631809865393,6.160820655211678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9842404495079047,1.0,0.27764018705136956
7.0,0.363127614332711,0.3414863028452131,0.0013422633455957597,0.00012008870301697546,0.0,0.0,0.0,0.0,0.0,0.0,0.9921089550298291,1.0,0.32435258641229825
8.0,0.4073065555183052,0.37963755310316916,0.002030003405718099,0.00021074442358869522,0.0,0.0,0.0,0.0,0.0,0.0,0.9960488365841081,1.0,0.3684491355004215
9.0,0.4497789653318168,0.4155784956597218,0.0028903036829226263,0.0003418844835051959,0.0,0.0,0.0,0.0,0.0,0.0,0.9980215941408173,1.0,0.41002280903850225
10.0,0.4906101348021248,0.44943718556042583,0.003928397607604405,0.0005218763889854714,0.0,0.0,0.0,0.0,0.0,0.0,0.999009376994277,1.0,0.4491953628664827
11.0,0.5298626564200876,0.48133425893169296,0.005146598624046047,0.0007589574124535552,0.0,0.0,0.0,0.0,0.0,0.0,0.999503972027783,1.0,0.48609726335334585
