,name,resultant,stimulus,rate,effect,Kd,n
0,"interaction1","pPI3K","LPS","LPSstim",1,,
1,"interaction2","PI3K","LPS","LPSstim",-1,,
2,"interaction3","PTEN","bpV","BPVstim",-1,,
3,"interaction4","pPTEN","bpV","BPVstim",1,,
4,"interaction5","pPI3K","LY294002","LY294002stim",-1,,
5,"interaction6","PI3K","LY294002","LY294002stim",1,,
6,"interaction7","GSK3B","HDACi","HDACIstim",1,,
7,"interaction8","pAKT","PTEN","AKTphos",-1,"Knegativefeedback","n1"
8,"interaction9","pAKT","pPI3K","AKTphos",1,"Kpositivefeedback","n2"
9,"interaction10","AKT","PTEN","AKTphos",-1,"Knegativefeedback","n1"
10,"interaction11","AKT","pPI3K","AKTphos",1,"Kpositivefeedback","n2"
11,"interaction12","pGSK3B","pAKT","GSK3Bphos",1,,
12,"interaction13","GSK3B","pAKT","GSK3Bphos",-1,,
13,"interaction14","PTEN","GSK3B","PTENphos",1,,
14,"interaction15","pPTEN","GSK3B","PTENphos",-1,,
15,"interaction16","pPI3K","PI3K","LPSstim",1,,
16,"interaction17","PI3K","PI3K","LPSstim",-1,,
17,"interaction18","PTEN","PTEN","BPVstim",-1,,
18,"interaction19","pPTEN","PTEN","BPVstim",1,,
19,"interaction20","pPI3K","pPI3K","LY294002stim",-1,,
20,"interaction21","PI3K","pPI3K","LY294002stim",1,,
21,"interaction22","pGSK3B","LiCl","LICLstim",1,,
22,"interaction23","GSK3B","LiCl","LICLstim",-1,,
23,"interaction24","GSK3B","GSK3B","LICLstim",-1,,
24,"interaction25","pGSK3B","GSK3B","LICLstim",1,,
25,"interaction26","PI3K","PI3K","P2Y12stim",-1,,
26,"interaction27","pPI3K","PI3K","P2Y12stim",1,,
27,"interaction28","P2Y12G","ADP","kGp",1,,
28,"interaction29","pPI3K","P2Y12G","P2Y12stim",1,,
30,"interaction30","PI3K","P2Y12G","P2Y12stim",-1,,
31,"interaction31","pPI3K","LiCl","LICLstim",1,,
32,"interaction32","PI3K","LiCl","LICLstim",-1,,
33,"interaction33","PI3K","PI3K","LICLstim",-1,,
34,"interaction34","pPI3K","PI3K","LICLstim",1,,
