,name,value,lower_bound,upper_bound,bound_type,fixed
0,PTENphos,0.40701850421889985,0.01,1.0,real,False
1,PTENdephos,0.020246391283639538,0.01,1.0,real,False
2,PI3Kphos,0.8606281060199455,0.01,1.0,real,False
3,PI3Kdephos,0.10231783374779636,0.01,1.0,real,False
4,AKTphos,0.8966344289898089,0.01,1.0,real,False
5,AKTdephos,0.7473768020447239,0.01,1.0,real,False
6,GSK3Bphos,0.9419252728352583,0.01,1.0,real,False
7,GSK3Bdephos,0.09951563674914735,0.01,1.0,real,False
8,LPSstim,10.0,0.001,1.0,real,False
9,HDACIstim,0.03688512132252008,0.001,1.0,real,False
10,LY294002stim,0.7082908780167825,0.001,1.0,real,False
11,BPVstim,0.9625429978712747,0.001,1.0,real,False
12,n1,1.0,1.0,10.0,int,True
13,n2,2.0,1.0,10.0,int,True
14,Knegativefeedback,0.025430703833986157,0.01,1.0,real,False
15,Kpositivefeedback,0.9097213506522988,0.01,1.0,real,False
16,"LICLstim",1.0,0.001,10.0,real,False
17,"ATPdephos",0.1,0.1,1.0,real,False
18,"ADPDegradation",0.1,0.1,1.0,real,False
19,"kGp",1.0,0.1,1.0,real,False
20,"rGp",1.0,0.1,1.0,real,False
21,"P2Y12stim",1.0,0.001,10.0,real,False
