,name,resultant,stimulus,rate,effect,Kd,n
0,"interaction1","pPI3K","LPS","LPSstim",1,,
1,"interaction2","pPTEN","bpV","BPVstim",1,,
2,"interaction3","pPI3K","LY294002","LY294002stim",-1,,
5,"interaction6","pGSK3B","pAKT","GSK3Bphos",1,,
6,"interaction7","pPI3K","pPI3K","LY294002stim",-1,,
8,"interaction10","pPI3K","ATP","P2Y12stim",1,,
9,"interaction11","pPTEN","pGSK3B","PTENdephos",-1,,
10,"interaction13","pPI3K","Ca","CAStim",1,,
11,"interaction14","PIP3","pPI3K","PIPactivation",1,Kpositivefeedback2,"n1"
12,"interaction15","PIP3","pPTEN","PIPdeactivation",-1,Knegativefeedback2,"n1"
13,"interaction16","pAKT","PIP3","AKTphos",1,"Kpositivefeedback","n2"
14,"interaction17","pPI3K","ATP","CAStim",1,,
15,"interaction18","pAKT","pAKT","CAdephos",-1,,
16,"interaction19","pAKT","ATP","CAdephos",-1,,
17,"interaction20","pAKT","Ca","CAdephos",1,CAHill,"n1"
